OID_,MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
,4,1.0000000,D460,0.000000000000000,1,24.3999996,6,10,60,0,93.5899963,81.9199982,15.6000004,17.8999996,25.2999992,116.6999969,142.0000000,142.0000000,0.0000000,0.0000000,0.0000000,0.0000000,25.2999992,116.6999969,142.0000000,142.0000000,2.0000000,0.0000000,2.0000000,146.3999939,0.0000000,146.3999939,12.0000000,0.0000000,12.0000000
,4,2.0000000,D461,0.000000000000000,1,38.7400017,6,10,30,0,140.6399994,128.4600067,16.5000000,18.1000004,18.7900009,327.7500000,346.5400085,346.5400085,0.0000000,0.0000000,0.0000000,0.0000000,18.7900009,327.7500000,346.5400085,346.5400085,5.0000000,0.0000000,5.0000000,464.8800049,0.0000000,464.8800049,30.0000000,0.0000000,30.0000000
,4,3.0000000,D462,0.000000000000000,1,23.4400005,6,10,40,0,86.6999969,74.9700012,16.2000008,18.7999992,0.5300000,121.6299973,122.1600037,122.1600037,0.0000000,0.0000000,0.0000000,0.0000000,0.5300000,121.6299973,122.1600037,122.1600037,3.0000000,0.0000000,3.0000000,210.9600067,0.0000000,210.9600067,18.0000000,0.0000000,18.0000000
,4,4.0000000,FD605,0.000000000000000,0,15.9600000,6,10,30,30,56.1500015,55.8800011,17.1000004,17.1000004,18.7500000,205.3300018,224.0800018,224.0800018,3.2900000,145.9700012,149.2599945,149.2599945,22.0400009,351.2999878,373.3399963,373.3399963,2.0000000,2.0000000,2.0000000,191.5200043,319.2000122,510.7200012,12.0000000,20.0000000,32.0000000
,4,5.0000000,M805_Santaquin,0.000000000000000,1,61.1699982,6,10,30,0,91.8499985,87.6800003,40.0000000,41.9000015,199.5700073,432.8699951,632.4400024,632.4400024,0.0000000,0.0000000,0.0000000,0.0000000,199.5700073,432.8699951,632.4400024,632.4400024,4.0000000,0.0000000,4.0000000,734.0399780,0.0000000,734.0399780,24.0000000,0.0000000,24.0000000
,4,6.0000000,M806_EglMtn,0.000000000000000,1,58.0000000,6,10,30,0,128.6799927,118.9700012,27.0000000,29.2999992,16.1299992,300.2900085,316.4200134,316.4200134,0.0000000,0.0000000,0.0000000,0.0000000,16.1299992,300.2900085,316.4200134,316.4200134,5.0000000,0.0000000,5.0000000,696.0000000,0.0000000,696.0000000,30.0000000,0.0000000,30.0000000
,4,7.0000000,M807_NoCnty,0.000000000000000,1,42.0099983,6,10,30,0,127.6999969,126.9499969,19.7000008,19.8999996,3.4300001,459.8599854,463.2900085,463.2900085,0.0000000,0.0000000,0.0000000,0.0000000,3.4300001,459.8599854,463.2900085,463.2900085,5.0000000,0.0000000,5.0000000,504.1199951,0.0000000,504.1199951,30.0000000,0.0000000,30.0000000
,4,8.0000000,M809_AM-PG,0.000000000000000,0,12.4600000,6,10,30,0,43.3300018,43.0600014,17.2999992,17.3999996,2.3599999,265.1700134,267.5299988,267.5299988,0.0000000,0.0000000,0.0000000,0.0000000,2.3599999,265.1700134,267.5299988,267.5299988,2.0000000,0.0000000,2.0000000,149.5200043,0.0000000,149.5200043,12.0000000,0.0000000,12.0000000
,4,9.0000000,M821_Psn,0.000000000000000,0,43.1199989,6,10,30,60,120.5899963,118.4000015,21.5000000,21.8999996,15.0600004,326.7900085,341.8500061,341.8500061,10.5900002,442.3299866,452.9200134,452.9200134,25.6499996,769.1199951,794.7700195,794.7700195,5.0000000,2.0000000,5.0000000,517.4400024,431.2000122,948.6400146,30.0000000,20.0000000,50.0000000
,4,10.0000000,M822_Psn,0.000000000000000,0,55.1199989,6,10,60,0,163.5200043,160.4600067,20.2000008,20.6000004,67.0699997,545.9500122,613.0200195,613.0200195,0.0000000,0.0000000,0.0000000,0.0000000,67.0699997,545.9500122,613.0200195,613.0200195,3.0000000,0.0000000,3.0000000,330.7200012,0.0000000,330.7200012,18.0000000,0.0000000,18.0000000
,4,11.0000000,M831_WPr,0.000000000000000,0,21.8400002,6,10,30,30,79.7300034,79.0599976,16.3999996,16.6000004,4.9000001,751.1099854,756.0100098,756.0100098,1.9200000,491.8599854,493.7799988,493.7799988,6.8200002,1242.9699707,1249.7900391,1249.7900391,3.0000000,3.0000000,3.0000000,262.0799866,436.7999878,698.8800049,18.0000000,30.0000000,48.0000000
,4,12.0000000,M833_CntPr,0.000000000000000,1,9.7299995,6,10,30,60,31.3500004,31.2500000,18.6000004,18.7000008,2.1700001,213.5000000,215.6699982,215.6699982,0.8000000,138.7500000,139.5500031,139.5500031,2.9700000,352.2500000,355.2200012,355.2200012,2.0000000,1.0000000,2.0000000,116.7600021,97.3000031,214.0599976,12.0000000,10.0000000,22.0000000
,4,13.0000000,M834_EstPr,0.000000000000000,0,16.5000000,6,10,60,60,51.6199989,51.2400017,19.2000008,19.2999992,18.9699993,465.3500061,484.3200073,484.3200073,6.1900001,343.7399902,349.9299927,349.9299927,25.1599998,809.0900269,834.2500000,834.2500000,1.0000000,1.0000000,1.0000000,99.0000000,165.0000000,264.0000000,6.0000000,10.0000000,16.0000000
,4,14.0000000,M841_UVU,0.000000000000000,0,4.8600001,6,10,30,30,19.2199993,19.0900002,15.1999998,15.3000002,0.3700000,69.2900009,69.6600037,69.6600037,0.1500000,32.7000008,32.8499985,32.8499985,0.5200000,101.9899979,102.5100021,102.5100021,1.0000000,1.0000000,1.0000000,58.3199997,97.1999969,155.5200043,6.0000000,10.0000000,16.0000000
,4,15.0000000,M850_StateStreet,0.000000000000000,0,46.2599983,6,10,15,15,153.7200012,151.1399994,18.1000004,18.3999996,51.3600006,1187.6199951,1238.9799805,1238.9799805,19.7800007,1109.2900391,1129.0699463,1129.0699463,71.1399994,2296.9099121,2368.0500488,2368.0500488,11.0000000,11.0000000,11.0000000,1110.1999512,1850.4000244,2960.6000977,66.0000000,110.0000000,176.0000000
,4,16.0000000,M862_Orem,0.000000000000000,0,28.6800003,6,10,30,30,102.6500015,102.6200027,16.7999992,16.7999992,56.4300003,650.1300049,706.5599976,706.5599976,5.4899998,294.0299988,299.5199890,299.5199890,61.9199982,944.1599731,1006.0800171,1006.0800171,4.0000000,4.0000000,4.0000000,344.1600037,573.5999756,917.7600098,24.0000000,40.0000000,64.0000000
,4,17.0000000,M864_ThanksgivingPnt,0.000000000000000,1,6.9400001,6,10,30,30,22.8600006,22.6200008,18.2000008,18.3999996,0.9100000,109.8499985,110.7600021,110.7600021,0.3000000,22.2099991,22.5100002,22.5100002,1.2100000,132.0599976,133.2700043,133.2700043,1.0000000,1.0000000,1.0000000,83.2799988,138.8000031,222.0800018,6.0000000,10.0000000,16.0000000
,4,18.0000000,M871_SLtoUtahCnty,0.000000000000000,1,26.7700005,6,10,30,30,66.3199997,62.3600006,24.2000008,25.7999992,5.5900002,108.1600037,113.7500000,113.7500000,1.8200001,61.6399994,63.4599991,63.4599991,7.4099998,169.8000031,177.2100067,177.2100067,3.0000000,3.0000000,3.0000000,321.2399902,535.4000244,856.6400146,18.0000000,30.0000000,48.0000000
,4,19.0000000,O601,0.000000000000000,0,3.6199999,6,10,20,20,12.8000002,12.8500004,17.0000000,16.8999996,0.0800000,38.5000000,38.5800018,38.5800018,0.0100000,19.0799999,19.0900002,19.0900002,0.0900000,57.5800018,57.6699982,57.6699982,1.0000000,1.0000000,1.0000000,65.1600037,108.5999985,173.7599945,6.0000000,10.0000000,16.0000000
,4,20.0000000,O603,0.000000000000000,0,11.2200003,6,10,15,15,39.8199997,38.9700012,16.8999996,17.2999992,49.7500000,850.9000244,900.6500244,900.6500244,4.0200000,387.6300049,391.6499939,391.6499939,53.7700005,1238.5300293,1292.3000488,1292.3000488,3.0000000,3.0000000,3.0000000,269.2799988,448.7999878,718.0800171,18.0000000,30.0000000,48.0000000
,4,21.0000000,O604,0.000000000000000,0,23.9200001,6,10,30,30,73.4599991,72.2900009,19.5000000,19.8999996,6.1199999,198.4400024,204.5599976,204.5599976,1.9800000,119.4000015,121.3799973,121.3799973,8.1000004,317.8399963,325.9400024,325.9400024,3.0000000,3.0000000,3.0000000,287.0400085,478.3999939,765.4400024,18.0000000,30.0000000,48.0000000
,4,22.0000000,O606,0.000000000000000,0,10.9200001,6,10,360,0,36.3600006,36.2999992,18.0000000,18.0000000,2.2500000,62.9199982,65.1699982,65.1699982,0.0000000,0.0000000,0.0000000,0.0000000,2.2500000,62.9199982,65.1699982,65.1699982,1.0000000,0.0000000,1.0000000,10.9200001,0.0000000,10.9200001,6.0000000,0.0000000,6.0000000
,4,23.0000000,O608,0.000000000000000,0,6.3200002,6,10,360,720,19.8500004,19.9300003,19.1000004,19.0000000,0.4200000,17.8500004,18.2700005,18.2700005,0.2100000,21.9099998,22.1200008,22.1200008,0.6300000,39.7599983,40.3899994,40.3899994,1.0000000,1.0000000,1.0000000,6.3200002,5.2700000,11.5900002,6.0000000,10.0000000,16.0000000
