OID_,MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
,4,81.0000000,S62,0.000000000000000,0,20.2600002,6,10,30,60,66.7600021,63.5600014,18.2000008,19.1000004,4.4600000,348.7099915,353.1700134,353.1700134,1.7400000,209.8099976,211.5500031,211.5500031,6.1999998,558.5200195,564.7199707,564.7199707,3.0000000,2.0000000,3.0000000,243.1199951,202.6000061,445.7200012,18.0000000,20.0000000,38.0000000
,4,82.0000000,S72,0.000000000000000,0,10.3999996,6,10,30,60,39.7799988,39.3600006,15.6999998,15.8999996,4.9800000,304.1400146,309.1199951,309.1199951,1.2400000,221.0200043,222.2599945,222.2599945,6.2199998,525.1599731,531.3800049,531.3800049,2.0000000,1.0000000,2.0000000,124.8000031,104.0000000,228.8000031,12.0000000,10.0000000,22.0000000
,4,83.0000000,S9,0.000000000000000,0,19.6200008,6,10,15,15,75.8099976,75.6200027,15.5000000,15.6000004,24.6900005,835.5900269,860.2800293,860.2800293,4.5700002,631.9099731,636.4799805,636.4799805,29.2600002,1467.5000000,1496.7600098,1496.7600098,6.0000000,6.0000000,6.0000000,470.8800049,784.7999878,1255.6999512,36.0000000,60.0000000,96.0000000
,4,84.0000000,SF453,0.000000000000000,1,34.7299995,6,10,60,60,45.3600006,43.6500015,45.9000015,47.7000008,0.8100000,29.6100006,30.4200001,30.4200001,0.2800000,48.0600014,48.3400002,48.3400002,1.0900000,77.6699982,78.7600021,78.7600021,1.0000000,1.0000000,1.0000000,208.3800049,347.2999878,555.6799927,6.0000000,10.0000000,16.0000000
,4,85.0000000,SF504,0.000000000000000,0,17.2399998,6,10,60,60,52.1500015,51.9900017,19.7999992,19.8999996,0.4100000,90.0999985,90.5100021,90.5100021,0.3500000,56.7999992,57.1500015,57.1500015,0.7600000,146.8999939,147.6600037,147.6600037,1.0000000,1.0000000,1.0000000,103.4400024,172.3999939,275.8399963,6.0000000,10.0000000,16.0000000
,4,86.0000000,SF514,0.000000000000000,0,13.2600002,6,10,30,0,52.6800003,52.6100006,15.1000004,15.1000004,23.5000000,167.4499969,190.9499969,190.9499969,0.0000000,0.0000000,0.0000000,0.0000000,23.5000000,167.4499969,190.9499969,190.9499969,2.0000000,0.0000000,2.0000000,159.1199951,0.0000000,159.1199951,12.0000000,0.0000000,12.0000000
,4,87.0000000,SF518,0.000000000000000,0,21.4799995,6,10,60,60,64.6299973,64.3300018,19.8999996,20.0000000,0.9100000,85.7099991,86.6200027,86.6200027,0.7200000,59.1399994,59.8600006,59.8600006,1.6300000,144.8500061,146.4799957,146.4799957,2.0000000,2.0000000,2.0000000,128.8800049,214.8000031,343.6799927,12.0000000,20.0000000,32.0000000
,4,88.0000000,SF522,0.000000000000000,0,5.9400001,6,10,30,0,21.5000000,20.0799999,16.6000004,17.7000008,1.8300000,63.8199997,65.6500015,65.6500015,0.0000000,0.0000000,0.0000000,0.0000000,1.8300000,63.8199997,65.6500015,65.6500015,1.0000000,0.0000000,1.0000000,71.2799988,0.0000000,71.2799988,6.0000000,0.0000000,6.0000000
,4,89.0000000,SF534,0.000000000000000,1,13.8699999,6,10,60,0,45.8699989,43.7700005,18.1000004,19.0000000,3.5799999,178.5000000,182.0800018,182.0800018,0.0000000,0.0000000,0.0000000,0.0000000,3.5799999,178.5000000,182.0800018,182.0800018,1.0000000,0.0000000,1.0000000,83.2200012,0.0000000,83.2200012,6.0000000,0.0000000,6.0000000
,4,90.0000000,SF546,0.000000000000000,0,21.5599995,6,10,60,60,71.5500031,70.6200027,18.1000004,18.2999992,1.4500000,89.5000000,90.9499969,90.9599991,0.8700000,88.2600021,89.1299973,89.1299973,2.3199999,177.7599945,180.0800018,180.0899963,2.0000000,2.0000000,2.0000000,129.3600006,215.6000061,344.9599915,12.0000000,20.0000000,32.0000000
,4,91.0000000,SF547,0.000000000000000,1,13.4899998,6,10,60,60,42.9300003,42.2400017,18.8999996,19.2000008,0.8100000,67.4800034,68.2900009,68.2900009,0.5400000,46.4599991,47.0000000,47.0000000,1.3500000,113.9400024,115.2900009,115.2900009,1.0000000,1.0000000,1.0000000,80.9400024,134.8999939,215.8399963,6.0000000,10.0000000,16.0000000
,4,92.0000000,SF556,0.000000000000000,0,10.6999998,6,10,30,60,33.9700012,31.4699993,18.8999996,20.3999996,1.6500000,31.7800007,33.4300003,33.4300003,0.5900000,41.0600014,41.6500015,41.6500015,2.2400000,72.8399963,75.0800018,75.0800018,2.0000000,1.0000000,2.0000000,128.3999939,107.0000000,235.3999939,12.0000000,10.0000000,22.0000000
,4,93.0000000,SF570,0.000000000000000,0,16.7600002,6,10,30,30,56.9799995,55.3400002,17.6000004,18.2000008,1.9900000,75.3899994,77.3799973,77.3799973,0.7200000,78.5599976,79.2799988,79.2799988,2.7100000,153.9499969,156.6600037,156.6600037,2.0000000,2.0000000,2.0000000,201.1199951,335.2000122,536.3200073,12.0000000,20.0000000,32.0000000
,4,94.0000000,SF578,0.000000000000000,0,13.8800001,6,10,30,30,49.2200012,47.6800003,16.8999996,17.5000000,1.3200001,59.1500015,60.4700012,60.4700012,0.8700000,66.5199966,67.3899994,67.3899994,2.1900001,125.6699982,127.8600006,127.8600006,2.0000000,2.0000000,2.0000000,166.5599976,277.6000061,444.1600037,12.0000000,20.0000000,32.0000000
,4,95.0000000,SF590,0.000000000000000,0,11.5400000,6,10,45,45,41.1599998,39.8400002,16.7999992,17.3999996,16.9799995,240.4799957,257.4599915,257.4599915,1.6100000,134.0599976,135.6699982,135.6699982,18.5900002,374.5400085,393.1300049,393.1300049,1.0000000,1.0000000,1.0000000,92.3199997,153.8699951,246.1900024,6.0000000,10.0000000,16.0000000
,4,96.0000000,SF94,0.000000000000000,0,7.2199998,6,10,30,30,23.6299992,23.3299999,18.2999992,18.6000004,1.6600000,111.9400024,113.5999985,113.5999985,0.9100000,97.8700027,98.7799988,98.7799988,2.5699999,209.8099976,212.3800049,212.3800049,1.0000000,1.0000000,1.0000000,86.6399994,144.3999939,231.0399933,6.0000000,10.0000000,16.0000000
,5,97.0000000,BRT3500S,0.000000000000000,0,28.6599998,6,10,15,15,82.5800018,80.1600037,20.7999992,21.5000000,23.4799995,938.4199829,961.9000244,961.9000244,9.4600000,625.4199829,634.8800049,634.8800049,32.9399986,1563.8399658,1596.7800293,1596.7800293,6.0000000,6.0000000,6.0000000,687.8400269,1146.4000244,1834.1999512,36.0000000,60.0000000,96.0000000
,6,98.0000000,S2X,0.000000000000000,0,9.6000004,6,10,15,0,42.2400017,41.3499985,13.6000004,13.8999996,15.5600004,65.0400009,80.5999985,80.5999985,0.0000000,0.0000000,0.0000000,0.0000000,15.5600004,65.0400009,80.5999985,80.5999985,3.0000000,0.0000000,3.0000000,230.3999939,0.0000000,230.3999939,18.0000000,0.0000000,18.0000000
,6,99.0000000,S451X,0.000000000000000,1,21.6399994,6,10,30,0,29.4599991,28.5200005,44.0999985,45.5000000,0.0000000,309.5100098,309.5100098,309.5100098,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,309.5100098,309.5100098,309.5100098,1.0000000,0.0000000,1.0000000,259.6799927,0.0000000,259.6799927,6.0000000,0.0000000,6.0000000
,6,100.0000000,S456,0.000000000000000,1,41.2299995,6,10,360,0,109.5599976,79.6999969,22.6000004,31.0000000,50.7799988,150.6799927,201.4600067,201.4600067,0.0000000,0.0000000,0.0000000,0.0000000,50.7799988,150.6799927,201.4600067,201.4600067,1.0000000,0.0000000,1.0000000,41.2299995,0.0000000,41.2299995,6.0000000,0.0000000,6.0000000
,6,101.0000000,S472X,0.000000000000000,1,34.1100006,6,10,30,0,91.3499985,56.7900009,22.3999996,36.0000000,44.7900009,211.2100067,256.0000000,256.0000000,0.0000000,0.0000000,0.0000000,0.0000000,44.7900009,211.2100067,256.0000000,256.0000000,4.0000000,0.0000000,4.0000000,409.3200073,0.0000000,409.3200073,24.0000000,0.0000000,24.0000000
,6,102.0000000,S473X,0.000000000000000,1,41.8600006,6,10,30,0,137.6499939,97.2399979,18.2000008,25.7999992,387.0299988,580.5000000,967.5300293,967.5300293,0.0000000,0.0000000,0.0000000,0.0000000,387.0299988,580.5000000,967.5300293,967.5300293,5.0000000,0.0000000,5.0000000,502.3200073,0.0000000,502.3200073,30.0000000,0.0000000,30.0000000
,6,103.0000000,S902,0.000000000000000,1,41.6100006,6,10,60,90,95.4899979,92.9899979,26.1000004,26.7999992,185.1799927,909.7199707,1094.9000244,1094.9000244,23.2800007,127.6399994,150.9199982,150.9199982,208.4600067,1037.3599854,1245.8199463,1245.8199463,2.0000000,2.0000000,2.0000000,249.6600037,277.3999939,527.0599976,12.0000000,20.0000000,32.0000000
,7,104.0000000,Blue,0.000000000000000,0,38.4799995,6,10,15,15,103.1200027,103.1200027,22.3999996,22.3999996,1724.2700195,7699.5898438,9423.8603516,9423.8603516,612.6699829,6644.7500000,7257.4199219,7257.4199219,2336.9399414,14344.3398438,16681.2792969,16681.2792969,7.0000000,7.0000000,7.0000000,923.5200195,1539.1999512,2462.6999512,42.0000000,70.0000000,112.0000000
,7,105.0000000,Green,0.000000000000000,0,28.4200001,6,10,15,15,91.8600006,91.8600006,18.6000004,18.6000004,893.7600098,8276.3300781,9170.0898438,9170.0898438,333.6499939,8756.5195313,9090.1699219,9090.1699219,1227.4100342,17032.8496094,18260.2597656,18260.2597656,7.0000000,7.0000000,7.0000000,682.0800171,1136.8000488,1818.9000244,42.0000000,70.0000000,112.0000000
,7,106.0000000,Red,0.000000000000000,0,46.5000000,6,10,15,15,118.3499985,118.3499985,23.6000004,23.6000004,2483.6699219,12938.7900391,15422.4599609,15422.4599609,436.5000000,9174.8798828,9611.3798828,9611.3798828,2920.1699219,22113.6699219,25033.8398438,25033.8398438,8.0000000,8.0000000,8.0000000,1116.0000000,1860.0000000,2976.0000000,48.0000000,80.0000000,128.0000000
,7,107.0000000,Sline,0.000000000000000,0,4.2800002,6,10,15,15,21.7500000,21.7500000,11.8000002,11.8000002,8.8999996,416.0499878,424.9500122,424.9500122,0.7500000,453.3299866,454.0799866,454.0799866,9.6499996,869.3800049,879.0300293,879.0300293,2.0000000,2.0000000,2.0000000,102.7200012,171.1999969,273.9200134,12.0000000,20.0000000,32.0000000
,8,108.0000000,RCRT_OGPN,0.000000000000000,0,162.1999969,6,10,30,60,239.5500031,239.5500031,40.5999985,40.5999985,7692.4902344,10576.0000000,18268.4902344,18268.4902344,1394.1899414,4337.1201172,5731.3100586,5731.3100586,9086.6796875,14913.1201172,23999.8007813,23999.8007813,8.0000000,4.0000000,8.0000000,1946.4000244,1622.0000000,3568.3999023,48.0000000,40.0000000,88.0000000
,9,109.0000000,BRT_ProOrm,0.000000000000000,0,22.9200001,6,10,6,10,81.8799973,81.6900024,16.7999992,16.7999992,283.8500061,9940.2802734,10224.1298828,10224.1298828,33.7799988,3069.5100098,3103.2900391,3103.2900391,317.6300049,13009.7900391,13327.4199219,13327.4199219,14.0000000,9.0000000,14.0000000,1375.1999512,1375.1999512,2750.3999023,84.0000000,90.0000000,174.0000000
